	gini
COL1A2	0.13
PTBP1	0.08
PHGR1	0.07234375
KRT8	0.07
COL4A1	0.07
COL6A2	0.05
HLA-A	0.05
CD74	0.04348958333333333
FABP1	0.04
REG4	0.04
CTSD	0.04
HLA-DRB1	0.0375
IGFBP7	0.03
S100A6	0.03
REG3G	0.02
COL4A2	0.02
HLA-C	0.02
HLA-B	0.02
RPLP2	0.014891774891774892
REG1A	0.012380952380952381
CTSB	0.01
JCHAIN	0.01
TFF2	0.01
TFF1	0.01
IGHG4	0.01
C1QB	0.01
MZT2B	0.01
IFI30	0.01
PLAT	0.007619047619047619
B2M	0.007272727272727273
IGHG3	0.004166666666666667
RPS6	0.002727272727272727
RPS18	0.002727272727272727
LYZ	0.002500000000000001
COL3A1	0.0023809523809523816
IGLL5	0.0
H1-5	0.0
HLA-DRA	0.0
H4C12	0.0
PGC	0.0
GKN1	0.0
IGHG2	0.0
RPS17	0.0
RPLP1	0.0
IGHA1	0.0
REG3A	0.0
DEFA5	0.0
NRG1	0.0
IGKC	0.0
PIGR	0.0
