	gini
HLA-B	0.19932891414141415
HLA-A	0.1852023358585859
KRT19	0.045016313932980605
HSP90AB1	0.043568442360109025
IGHA1	0.04083206569664904
S100A10	0.04042983405483406
CRIP1	0.03731102231102232
S100A6	0.033775252525252535
DMBT1	0.03174889038430705
PABPC1	0.03128235653235654
REG4	0.02971482683982684
B2M	0.0286741452991453
MZT2B	0.023627470137886804
KRT20	0.023270833333333338
KRT8	0.022207792207792214
PIGR	0.019485389610389613
RPLP0	0.01755555555555556
C4orf46	0.015043886668886671
TMSB10	0.014687234062234064
RPS18	0.01084294871794872
REG3G	0.010127136752136754
RPS6	0.010000000000000002
FABP1	0.007503968253968253
PTBP1	0.007402777777777778
CLCA1	0.00714272147605481
RPL41	0.0062222222222222245
GAST	0.006136363636363638
PHAX	0.006136363636363638
RPS12	0.005641025641025643
GIP	0.005216450216450216
PRMT8	0.004415584415584417
PSCA	0.004333333333333332
PRSS2	0.003928571428571428
ZNF587	0.0038636363636363647
H4C15	0.003777777777777778
PGC	0.0037777777777777775
RPL30	0.002207792207792209
DUX4	0.0022077922077922084
ANPEP	0.002098765432098766
REG3A	0.0017171717171717172
H2AC19	0.0016190476190476196
REG1A	0.00091820987654321
PLA2G2A	0.0
RPS17	0.0
RPS20	0.0
RPL32	0.0
CHGA	0.0
LIPF	0.0
JCHAIN	0.0
AGR2	0.0
