	gini
HLA-A	0.14385087726121512
CTSD	0.11816039248504366
CRIP1	0.0825694750830532
HLA-B	0.07854986972838125
B2M	0.06260151182878333
PTBP1	0.05118979531318291
REG4	0.03988254717418805
S100A10	0.036492817969553726
MZT2B	0.03357244293576474
RPLP0	0.03277658786422852
DUX4	0.0283695362085455
S100A6	0.028229470758930904
GIP	0.02802988918448394
CD74	0.027635585523609934
RPS2	0.024123863608498313
KRT8	0.01564893456121527
KRT20	0.0151940102229667
IGHA1	0.012805579605579608
KRT19	0.012737655586778399
PABPC1	0.011794871794871797
RPS6	0.011258569849615341
IGHG3	0.009459568538060617
RPS18	0.00918000884564352
PSCA	0.007713047186731398
HSP90AB1	0.007497862302815866
PHAX	0.00736381714823242
REG3A	0.00726313857376809
PLA2G2A	0.006717542519400105
REG1A	0.005494817061706421
RPS20	0.005031339031339031
LGALS3	0.004708645851502995
RPS12	0.0045418285418285425
ANPEP	0.003684911579648421
CHGA	0.0035363636363636383
HLA-DRB1	0.0033543017206882774
RPS17	0.003233211233211234
PIGR	0.0031029711029711034
TMSB10	0.0030476190476190477
LIPF	0.0028783068783068792
C4orf46	0.001263157894736843
IGHG4	0.0012030075187969933
GAST	0.001181084198385237
PRMT8	0.0011666666666666672
DMBT1	0.0008366013071895427
FABP1	0.0007272727272727273
RPL32	0.00033862433862433906
REG3G	0.0
RPL30	0.0
AGR2	0.0
CLCA1	0.0
