	gini
IL4R	0.12311729436188308
PLEC	0.10294067012922231
UBE3A	0.09199024779622422
HSD17B4	0.08156344070124734
HLCS	0.07468901187485844
GLB1	0.07091604794827497
GM2A	0.0686811760380784
PSEN2	0.05909356396369384
MVK	0.051648471244430845
IFNGR1	0.04088103254769922
CYB5R3	0.035915681240356566
RAG1	0.03339479450590562
PAFAH1B1	0.0327164745094038
NOTCH3	0.03167199202913488
OXCT1	0.028561541339319114
ERCC2	0.027752124418791085
NEU1	0.01947622483336769
PAFAH2	0.015552051007798965
G6PD	0.009438159510309583
