tags	type	group	meta
CD45_2_023	CD45	CD45_P_1_IM	1
CD45_2_024	CD45	CD45_P_1_IM	1
CD45_2_033	CD45	CD45_P_1_IM	1
CD45_2_017	CD45	CD45_P_1_IM	1
CD45_2_022	CD45	CD45_P_1_CTR	0
CD45_1_024	CD45	CD45_P_1_CTR	0
CD45_2_016	CD45	CD45_P_1_IM	1
CD45_2_021	CD45	CD45_P_1_CTR	0
panck_2_023	panck	panck_P_1_IM	1
CD45_1_026	CD45	CD45_P_1_IM	1
panck_2_021	panck	panck_P_1_CTR	0
panck_2_022	panck	panck_P_1_CTR	0
panck_2_024	panck	panck_P_1_IM	1
panck_2_033	panck	panck_P_1_IM	1
panck_1_012	panck	panck_P_1_IM	1
CD45_1_012	CD45	CD45_P_1_IM	1
panck_1_013	panck	panck_P_1_IM	1
CD45_1_013	CD45	CD45_P_1_IM	1
panck_1_014	panck	panck_P_1_CTR	0
CD45_1_014	CD45	CD45_P_1_CTR	0
panck_1_024	panck	panck_P_1_CTR	0
panck_1_025	panck	panck_P_1_IM	1
CD45_1_025	CD45	CD45_P_1_IM	1
panck_1_026	panck	panck_P_1_IM	1
panck_2_016	panck	panck_P_1_IM	1
panck_2_017	panck	panck_P_1_IM	1
