	gini
GLB1	0.1466234403923798
SLC5A5	0.14313257940151883
G6PD	0.11314807526928741
STK11	0.08528419632315735
RFX5	0.07691893684317928
HSD17B4	0.05864533294186975
MVK	0.051640138761350894
HLCS	0.04843638404244465
PSEN2	0.038523843880986744
NOTCH3	0.036967687595393234
PAFAH2	0.034340883583307835
PAFAH1B1	0.030401554280522537
PLEC	0.02583844396344397
OXCT1	0.021548821548821553
RAG1	0.018212427303336394
BARD1	0.018195847362514034
UBE3A	0.015342865541278243
IL4R	0.01253273475495698
NEU1	0.010334829779274225
IFNGR1	0.010101010101010104
GM2A	0.003829966329966332
