	gini
CFTR	0.12180809227166993
OTC	0.09361764919460049
SYNJ2	0.09107569685580681
UBD	0.07449645812543017
GLB1	0.07255358553991449
IL4R	0.05168330083212122
GALK1	0.05069587327987333
ANO7	0.04938358681883357
PCCA	0.04748854275123513
NF1	0.044254123485897134
CA2	0.04123763749651907
RPL17	0.03991775416428171
MZT2A	0.03668808018561903
PDHA1	0.03414987943298302
OR5A1	0.03261107216989784
ERCC5	0.03188582961634019
GCDH	0.02614648205725845
AFTPH	0.02265139564597769
SPDYE3	0.02073186853368966
SMN1	0.011296716856078819
HK1	0.005626374685972209
